Number,Steps,Cache Method,Time (ms),Cache Hit Rate (%)
3300,136,MRU,0.15,1.09%
1579,122,MRU,0.14,1.08%
9260,109,MRU,0.14,1.08%
5265,41,MRU,0.14,1.08%
12752,125,MRU,0.13,1.07%
1991,50,MRU,0.12,1.07%
12584,63,MRU,0.12,1.06%
3639,162,MRU,0.12,1.06%
8918,47,MRU,0.12,1.06%
4552,59,MRU,0.12,1.05%
11306,130,MRU,0.12,1.05%
2019,112,MRU,0.12,1.05%
5509,160,MRU,0.12,1.04%
5488,129,MRU,0.12,1.04%
5790,54,MRU,0.00,1.38%
8230,114,MRU,0.12,1.37%
5719,80,MRU,0.12,1.37%
12552,37,MRU,0.12,1.37%
11732,99,MRU,0.12,1.36%
7106,57,MRU,0.12,1.36%
4523,90,MRU,0.12,1.35%
12761,76,MRU,0.12,1.35%
9977,42,MRU,0.12,1.34%
2590,40,MRU,0.12,1.34%
709,33,MRU,0.12,1.33%
4041,144,MRU,0.12,1.33%
6095,62,MRU,0.12,1.32%
12783,200,MRU,0.12,1.32%
6961,57,MRU,0.12,1.32%
11084,68,MRU,0.12,1.31%
9961,73,MRU,0.12,1.31%
4624,33,MRU,0.12,1.30%
5606,98,MRU,0.12,1.30%
7577,83,MRU,0.12,1.29%
2946,97,MRU,0.12,1.29%
953,28,MRU,0.12,1.29%
5426,160,MRU,0.12,1.28%
10052,135,MRU,0.12,1.28%
8804,140,MRU,0.12,1.27%
11051,117,MRU,0.12,1.27%
10607,55,MRU,0.12,1.27%
11319,68,MRU,0.12,1.26%
3662,69,MRU,0.12,1.26%
12121,143,MRU,0.12,1.25%
11388,174,MRU,0.12,1.25%
762,108,MRU,0.12,1.25%
4702,59,MRU,0.12,1.24%
8280,127,MRU,0.12,1.24%
5141,28,MRU,0.12,1.23%
2421,19,MRU,0.12,1.23%
449,115,MRU,0.12,1.23%
1406,171,MRU,0.12,1.22%
3681,131,MRU,0.12,1.22%
11925,94,MRU,0.12,1.22%
233,83,MRU,0.12,1.21%
3190,74,MRU,0.12,1.21%
11008,37,MRU,0.12,1.20%
10119,73,MRU,0.12,1.20%
4499,46,MRU,0.12,1.20%
7223,70,MRU,0.12,1.19%
3574,48,MRU,0.12,1.19%
8633,52,MRU,0.12,1.19%
2236,89,MRU,0.12,1.18%
6893,57,MRU,0.12,1.18%
7762,145,MRU,0.12,1.18%
10898,161,MRU,0.12,1.17%
11938,94,MRU,0.12,1.17%
2714,53,MRU,0.12,1.17%
9363,47,MRU,0.12,1.16%
551,43,MRU,0.12,1.16%
10587,130,MRU,0.12,1.16%
12317,156,MRU,0.11,1.15%
5553,129,MRU,0.11,1.15%
9253,109,MRU,0.11,1.15%
5776,49,MRU,0.11,1.14%
12332,37,MRU,0.11,1.14%
10142,86,MRU,0.11,1.14%
6434,75,MRU,0.11,1.13%
12151,63,MRU,0.11,1.13%
10286,55,MRU,0.11,1.13%
5179,116,MRU,0.11,1.12%
10878,68,MRU,0.11,1.12%
2587,146,MRU,0.11,1.12%
1763,117,MRU,0.11,1.11%
2575,146,MRU,0.11,1.11%
9290,184,MRU,0.11,1.11%
12369,63,MRU,0.11,1.10%
8771,140,MRU,0.11,1.10%
6314,31,MRU,0.11,1.10%
7164,101,MRU,0.11,1.10%
9215,153,MRU,0.11,1.09%
1513,65,MRU,0.11,1.09%
12956,125,MRU,0.11,1.09%
998,49,MRU,0.11,1.08%
7059,57,MRU,0.11,1.08%
6574,75,MRU,0.11,1.08%
